date,account,amount,currency,description,merchant,category,tags,notes
2026-01-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,January salary
2026-01-02,Checking,-1200,INR,Milk + bread,FreshMart Grocers,Groceries,food|essentials,
2026-01-03,Checking,-450,INR,Coffee,Bean & Brew,Eating Out,food|coffee,
2026-01-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities,
2026-01-05,Checking,-2500,INR,Electricity bill,City Power,Utilities,utilities,
2026-01-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2026-01-07,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2026-01-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2026-01-09,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2026-01-10,Checking,-650,INR,Lunch,Office Canteen,Eating Out,food,
2026-01-11,Checking,-1500,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2026-01-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2026-01-13,Credit Card,-2450,INR,Online shopping order,Amazon,Shopping,online,
2026-01-14,Credit Card,-899,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2026-01-15,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2026-01-16,Checking,-600,INR,Auto rickshaw,Local Ride,Transport,commute,
2026-01-17,Checking,-3400,INR,Weekend dinner,Spice Route Restaurant,Eating Out,food|friends,
2026-01-18,Checking,-1200,INR,Internet bill,FiberNet,Utilities,internet|monthly,
2026-01-19,Checking,-540,INR,Groceries top-up,FreshMart Grocers,Groceries,food,
2026-01-20,Credit Card,-1599,INR,Shoes purchase,ShoeHub,Shopping,clothing,
2026-01-21,Checking,-300,INR,Coffee,Bean & Brew,Eating Out,coffee,
2026-01-22,Checking,-750,INR,Movie tickets,CineWorld,Entertainment,fun,
2026-01-23,Checking,-2800,INR,Car service,AutoCare,Transport,maintenance,
2026-01-24,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2026-01-25,Checking,-2100,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2026-01-26,Checking,5000,INR,Freelance payment,Client A,Income: Freelance,income,
2026-01-27,Checking,-1350,INR,Groceries,Daily Needs Store,Groceries,food,
2026-01-28,Credit Card,-4200,INR,Electronics accessory,TechKart,Shopping,gadgets,
2026-01-29,Checking,-980,INR,Doctor consultation,City Clinic,Health,medical,
2026-01-30,Checking,-1600,INR,Dining out,Green Bowl Bistro,Eating Out,food,
2026-01-31,Checking,-900,INR,Charity donation,Helping Hands,Donations,giving,
